doctor_id,last_name,first_name,patronymic,specialty,office
1,Логинов,Никон,Всеволодович,Офтальмолог,486
2,Мясников,Савелий,Бенедиктович,Психиатр,342
3,Панфилов,Феврония,Владиленович,ЛОР,215
4,Филатов,Ладислав,Сергеевна,Невролог,462
5,Мамонтов,Екатерина,Демьянович,Офтальмолог,337
6,Суворов,Антонин,Эдгарович,Терапевт,387
7,Максимов,Савва,Ивановна,Дерматолог,313
8,Родионов,Артемий,Венедиктович,Психиатр,371
9,Селезнева,Мефодий,Феликсович,Офтальмолог,298
10,Сорокина,Элеонора,Терентьевич,ЛОР,230
11,Мамонтов,Валентин,Натановна,ЛОР,269
12,Дроздов,Никифор,Вячеславовна,Хирург,330
13,Корнилова,Мир,Тимурович,Кардиолог,147
14,Поляков,Исай,Владленович,Психиатр,470
15,Щербакова,Никифор,Харитоновна,ЛОР,126
16,Никонов,Анжела,Олеговна,Невролог,293
17,Калинина,Ангелина,Ануфриевич,Эндокринолог,408
18,Шарапова,Лонгин,Давыдович,Терапевт,137
19,Мельников,Октябрина,Болеславовна,ЛОР,489
20,Александров,Марина,Августович,Эндокринолог,470
21,Аксенов,Ефим,Ниловна,Психиатр,211
22,Кузнецов,Аггей,Валериевна,Педиатр,206
23,Беляева,Чеслав,Тарасовна,Кардиолог,255
24,Логинова,Терентий,Георгиевна,Терапевт,208
25,Тихонов,Харитон,Трофимович,ЛОР,479
26,Горбачева,Викентий,Игнатович,Хирург,482
27,Лыткин,Леонтий,Ермолаевич,Педиатр,224
28,Третьяков,Оксана,Евсеевич,Эндокринолог,460
29,Максимов,Устин,Архиповна,ЛОР,303
30,Пономарев,Анжела,Яковлевна,ЛОР,382
31,Игнатьева,Владилен,Яковлевич,Кардиолог,497
32,Горбачев,Нифонт,Юльевна,Невролог,294
33,Фокина,Иванна,Леонидовна,Педиатр,373
34,Денисов,Фотий,Юльевич,Кардиолог,257
35,Котова,Надежда,Ивановна,Невролог,284
36,Шестаков,Агафон,Брониславович,Психиатр,354
37,Комаров,Селиверст,Валерьянович,Педиатр,150
38,Ефимов,Василиса,Антоновна,Педиатр,489
39,Тетерин,Виктор,Робертовна,Кардиолог,204
40,Дроздова,Богдан,Фадеевич,Кардиолог,260
41,Дроздов,Тарас,Ярославович,Дерматолог,123
42,Миронова,Таисия,Чеславович,Эндокринолог,213
43,Ильина,Евфросиния,Вячеславовна,Офтальмолог,108
44,Беляева,Игорь,Давидович,Невролог,383
45,Веселова,Севастьян,Давыдович,Эндокринолог,396
46,Воронцова,Добромысл,Аксёнович,Дерматолог,251
47,Кабанова,Дмитрий,Ильясович,Офтальмолог,200
48,Гаврилов,Максимильян,Даниилович,Кардиолог,217
49,Максимова,Павел,Жанович,Дерматолог,391
50,Назарова,Виктория,Еремеевич,ЛОР,355
