patient_id,last_name,first_name,patronymic,birth_date,gender,insurance_policy,snils,address,phone
1,Антонова,Вениамин,Адрианович,1972-11-16,М,33218196001338,908-386-379 40,"к. Лабинск, алл. Луначарского, д. 216, 594078",+7 618 495 93 10
2,Коновалова,Зосима,Сергеевна,1974-10-31,М,13164752553419,283-276-483 50,"ст. Моздок, наб. Песчаная, д. 69 к. 77, 242388",+79696532871
3,Лукина,Анисим,Брониславович,1956-03-31,Ж,26916697848018,451-462-704 82,"ст. Терскол, алл. Амурская, д. 3 стр. 895, 154303",81171822782
4,Лобанов,Стоян,Вячеславовна,1993-01-13,М,38346578713315,098-393-010 31,"г. Токсово, наб. Вахитова, д. 38, 376311",8 566 701 06 51
5,Чернов,Евдоким,Геннадиевич,2008-06-07,М,72624731781080,132-677-360 26,"к. Сергиев Посад, пр. Станиславского, д. 53 к. 90, 500978",8 (208) 121-9136
6,Журавлев,Филарет,Денисович,1940-11-08,М,91699854353462,475-107-991 18,"п. Нижнекамск, алл. Павлова, д. 3, 849808",+71241182449
7,Гаврилов,Майя,Измаилович,1963-02-26,М,48740164005242,786-801-128 05,"п. Байкальск, наб. Вокзальная, д. 4 к. 61, 923226",+7 256 342 1607
8,Зуев,Евстигней,Эльдаровна,1998-02-03,М,54330365414586,850-142-940 19,"клх Можайск, пер. Пограничный, д. 4/5 к. 960, 561595",+7 484 656 48 23
9,Одинцов,Виктория,Тарасович,1959-02-17,Ж,99468044369957,773-872-148 95,"клх Минеральные Воды, ш. Выгонное, д. 10, 791769",+7 (676) 320-1632
10,Евдокимова,Ирина,Ярославович,1998-09-02,М,08317278895798,687-277-434 87,"с. Буйнакск, наб. Белорусская, д. 6 стр. 9, 223623",+7 665 876 03 66
11,Щукина,Ульяна,Владимировна,1938-02-07,М,96705466889373,467-065-627 29,"д. Фатеж, ул. Народная, д. 3/8 стр. 50, 537556",+76417080531
12,Логинова,Антонина,Анатольевич,1939-09-02,М,33092327193745,299-124-190 49,"клх Камышин, пер. Харьковский, д. 249, 586518",8 067 165 7262
13,Емельянова,Станимир,Захаровна,1972-03-15,М,98776945314737,996-507-527 35,"к. Шамары, наб. Комсомольская, д. 41 стр. 8/9, 777014",+7 (634) 957-8856
14,Копылова,Ульян,Игнатович,1983-04-30,М,74443135182337,498-941-343 52,"клх Тында, наб. Трудовая, д. 384, 109477",8 (520) 471-16-71
15,Борисова,Агафья,Леоновна,1942-09-28,М,22941318699938,677-496-499 09,"клх Каспийск, бул. Широкий, д. 33 к. 720, 974034",+77134936183
16,Филиппова,Геннадий,Евстигнеевич,1954-10-21,М,10249947174648,877-190-659 40,"клх Чайковский, ул. Угольная, д. 927 стр. 5/3, 717565",8 125 674 6807
17,Борисов,Лука,Димитриевич,1979-06-12,Ж,16808760385977,034-824-771 09,"к. Усть-Илимск, пер. Макаренко, д. 831, 274846",8 (737) 826-39-82
18,Ситникова,Архип,Елизарович,1991-12-02,М,58404499727875,588-675-339 63,"к. Соловки, ш. Революции, д. 3/8 стр. 628, 718702",8 217 459 61 58
19,Мишин,Лукьян,Даниловна,2001-11-09,Ж,80913431611724,005-045-562 38,"п. Игарка, пер. Кошевого, д. 37, 747407",+78217594647
20,Кулакова,Ладислав,Герасимович,1987-10-21,Ж,71369594406409,097-439-533 94,"клх Аша, ш. Гончарова, д. 395 к. 745, 328588",+72474517123
21,Кононова,Евпраксия,Наумовна,1989-07-14,М,85160481754965,137-098-593 17,"г. Дивногорск, ул. Свободы, д. 2/2, 826758",8 926 179 64 05
22,Кудряшов,Прокл,Феофанович,1967-08-01,М,51585064317139,005-329-318 39,"к. Дубна, ул. Энергетическая, д. 92 стр. 3, 020539",8 024 026 8117
23,Самсонов,Элеонора,Иосипович,2005-04-19,Ж,91783908470076,617-711-592 12,"с. Шарья, наб. Просвещения, д. 2/2 стр. 86, 657661",8 654 527 1111
